E001,ES-I3 Cells
E002,ES-WA7 Cells
E003,H1 Cells
E004,H1 BMP4 Derived Mesendoderm Cultured Cells
E005,H1 BMP4 Derived Trophoblast Cultured Cells
E006,H1 Derived Mesenchymal Stem Cells
E007,H1 Derived Neuronal Progenitor Cultured Cells
E008,H9 Cells
E009,H9 Derived Neuronal Progenitor Cultured Cells
E010,H9 Derived Neuron Cultured Cells
E011,hESC Derived CD184+ Endoderm Cultured Cells
E012,hESC Derived CD56+ Ectoderm Cultured Cells
E013,hESC Derived CD56+ Mesoderm Cultured Cells
E014,HUES48 Cells
E015,HUES6 Cells
E016,HUES64 Cells
E017,IMR90 fetal lung fibroblasts Cell Line
E018,iPS-15b Cells
E019,iPS-18 Cells
E020,iPS-20b Cells
E021,iPS DF 6.9 Cells
E022,iPS DF 19.11 Cells
E023,Mesenchymal Stem Cell Derived Adipocyte Cultured Cells
E024,ES-UCSF4  Cells
E025,Adipose Derived Mesenchymal Stem Cell Cultured Cells
E026,Bone Marrow Derived Cultured Mesenchymal Stem Cells
E027,Breast Myoepithelial Primary Cells
E028,Breast variant Human Mammary Epithelial Cells (vHMEC)
E029,Primary monocytes from peripheral blood
E030,Primary neutrophils from peripheral blood
E031,Primary B cells from cord blood
E032,Primary B cells from peripheral blood
E033,Primary T cells from cord blood
E034,Primary T cells from peripheral blood
E035,Primary hematopoietic stem cells
E036,Primary hematopoietic stem cells short term culture
E037,Primary T helper memory cells from peripheral blood 2
E038,Primary T helper naive cells from peripheral blood
E039,Primary T helper naive cells from peripheral blood
E040,Primary T helper memory cells from peripheral blood 1
E041,Primary T helper cells PMA-I stimulated
E042,Primary T helper 17 cells PMA-I stimulated
E043,Primary T helper cells from peripheral blood
E044,Primary T regulatory cells from peripheral blood
E045,Primary T cells effector/memory enriched from peripheral blood
E046,Primary Natural Killer cells from peripheral blood
E047,Primary T CD8+ naive cells from peripheral blood
E048,Primary T CD8+ memory cells from peripheral blood
E049,Mesenchymal Stem Cell Derived Chondrocyte Cultured Cells
E050,Primary hematopoietic stem cells G-CSF-mobilized Female
E051,Primary hematopoietic stem cells G-CSF-mobilized Male
E052,Muscle Satellite Cultured Cells
E053,Cortex derived primary cultured neurospheres
E054,Ganglion Eminence derived primary cultured neurospheres
E055,Foreskin Fibroblast Primary Cells skin01
E056,Foreskin Fibroblast Primary Cells skin02
E057,Foreskin Keratinocyte Primary Cells skin02
E058,Foreskin Keratinocyte Primary Cells skin03
E059,Foreskin Melanocyte Primary Cells skin01
E061,Foreskin Melanocyte Primary Cells skin03
E062,Primary mononuclear cells from peripheral blood
E063,Adipose Nuclei
E065,Aorta
E066,Liver
E067,Brain Angular Gyrus
E068,Brain Anterior Caudate
E069,Brain Cingulate Gyrus
E070,Brain Germinal Matrix
E071,Brain Hippocampus Middle
E072,Brain Inferior Temporal Lobe
E073,Brain_Dorsolateral_Prefrontal_Cortex
E074,Brain Substantia Nigra
E075,Colonic Mucosa
E076,Colon Smooth Muscle
E077,Duodenum Mucosa
E078,Duodenum Smooth Muscle
E079,Esophagus
E080,Fetal Adrenal Gland
E081,Fetal Brain Male
E082,Fetal Brain Female
E083,Fetal Heart
E084,Fetal Intestine Large
E085,Fetal Intestine Small
E086,Fetal Kidney
E087,Pancreatic Islets
E088,Fetal Lung
E089,Fetal Muscle Trunk
E090,Fetal Muscle Leg
E091,Placenta
E092,Fetal Stomach
E093,Fetal Thymus
E094,Gastric
E095,Left Ventricle
E096,Lung
E097,Ovary
E098,Pancreas
E099,Placenta Amnion
E100,Psoas Muscle
E101,Rectal Mucosa Donor 29
E102,Rectal Mucosa Donor 31
E103,Rectal Smooth Muscle
E104,Right Atrium
E105,Right Ventricle
E106,Sigmoid Colon
E107,Skeletal Muscle Male
E108,Skeletal Muscle Female
E109,Small Intestine
E110,Stomach Mucosa
E111,Stomach Smooth Muscle
E112,Thymus
E113,Spleen
E114,A549 EtOH 0.02pct Lung Carcinoma Cell Line
E115,Dnd41 TCell Leukemia Cell Line
E116,GM12878 Lymphoblastoid Cells
E117,HeLa-S3 Cervical Carcinoma Cell Line
E118,HepG2 Hepatocellular Carcinoma Cell Line
E119,HMEC Mammary Epithelial Primary Cells
E120,HSMM Skeletal Muscle Myoblasts Cells
E121,HSMM cell derived Skeletal Muscle Myotubes Cells
E122,HUVEC Umbilical Vein Endothelial Primary Cells
E123,K562 Leukemia Cells
E124,Monocytes-CD14+ RO01746 Primary Cells
E125,NH-A Astrocytes Primary Cells
E126,NHDF-Ad Adult Dermal Fibroblast Primary Cells
E127,NHEK-Epidermal Keratinocyte Primary Cells
E128,NHLF Lung Fibroblast Primary Cells
E129,Osteoblast Primary Cells
